letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueSkewDir,blueHandPath,blueSkewSteps,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redSkewDir,redHandPath,redSkewSteps,redStartLocation,redEndLocation,category
Θ,eta13,zeta13,none,none,pro,cw,,cw,0,sw,nw,static,noRotation,,static,0,s,s,3
Σ-,eta13,eta1,none,none,pro,cw,,cw,0,sw,nw,dash,noRotation,,dash,0,s,n,3
P,eta13,zeta7,none,opp,pro,ccw,,ccw,0,sw,se,pro,cw,,cw,0,s,w,3
S,eta13,eta11,none,same,pro,ccw,,ccw,0,sw,se,pro,ccw,,ccw,0,s,e,3
R,eta13,zeta7,none,opp,pro,ccw,,ccw,0,sw,se,anti,ccw,,cw,0,s,w,3
V,eta13,eta11,none,same,pro,ccw,,ccw,0,sw,se,anti,cw,,ccw,0,s,e,3
Y,eta13,eta5,none,none,pro,ccw,,ccw,0,sw,se,static,noRotation,,static,0,s,s,3
W-,eta13,zeta9,none,none,pro,ccw,,ccw,0,sw,se,dash,noRotation,,dash,0,s,n,3
V,eta13,eta15,none,same,anti,ccw,,cw,0,sw,nw,pro,cw,,cw,0,s,w,3
O,eta13,zeta3,none,opp,anti,ccw,,cw,0,sw,nw,pro,ccw,,ccw,0,s,e,3
T,eta13,eta15,none,same,anti,ccw,,cw,0,sw,nw,anti,ccw,,cw,0,s,w,3
N,eta13,zeta3,none,opp,anti,ccw,,cw,0,sw,nw,anti,cw,,ccw,0,s,e,3
Ω,eta13,zeta13,none,none,anti,ccw,,cw,0,sw,nw,static,noRotation,,static,0,s,s,3
Δ-,eta13,eta1,none,none,anti,ccw,,cw,0,sw,nw,dash,noRotation,,dash,0,s,n,3
R,eta13,zeta7,none,opp,anti,cw,,ccw,0,sw,se,pro,cw,,cw,0,s,w,3
U,eta13,eta11,none,same,anti,cw,,ccw,0,sw,se,pro,ccw,,ccw,0,s,e,3
Q,eta13,zeta7,none,opp,anti,cw,,ccw,0,sw,se,anti,ccw,,cw,0,s,w,3
T,eta13,eta11,none,same,anti,cw,,ccw,0,sw,se,anti,cw,,ccw,0,s,e,3
Z,eta13,eta5,none,none,anti,cw,,ccw,0,sw,se,static,noRotation,,static,0,s,s,3
X-,eta13,zeta9,none,none,anti,cw,,ccw,0,sw,se,dash,noRotation,,dash,0,s,n,3
Y,eta13,eta7,none,none,static,noRotation,,static,0,sw,sw,pro,cw,,cw,0,s,w,3
Θ,eta13,zeta11,none,none,static,noRotation,,static,0,sw,sw,pro,ccw,,ccw,0,s,e,3
Z,eta13,eta7,none,none,static,noRotation,,static,0,sw,sw,anti,ccw,,cw,0,s,w,3
Ω,eta13,zeta11,none,none,static,noRotation,,static,0,sw,sw,anti,cw,,ccw,0,s,e,3
η,eta13,eta13,none,none,static,noRotation,,static,0,sw,sw,static,noRotation,,static,0,s,s,3
Φ,eta13,zeta1,none,none,static,noRotation,,static,0,sw,sw,dash,noRotation,,dash,0,s,n,3
W-,eta13,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,pro,cw,,cw,0,s,w,3
Σ-,eta13,eta3,none,none,dash,noRotation,,dash,0,sw,ne,pro,ccw,,ccw,0,s,e,3
X-,eta13,zeta15,none,none,dash,noRotation,,dash,0,sw,ne,anti,ccw,,cw,0,s,w,3
Δ-,eta13,eta3,none,none,dash,noRotation,,dash,0,sw,ne,anti,cw,,ccw,0,s,e,3
Φ,eta13,zeta5,none,none,dash,noRotation,,dash,0,sw,ne,static,noRotation,,static,0,s,s,3
Ψ-,eta13,eta9,none,none,dash,noRotation,,dash,0,sw,ne,dash,noRotation,,dash,0,s,n,3
S,eta7,eta1,none,same,pro,cw,,cw,0,sw,nw,pro,cw,,cw,0,w,n,3
P,eta7,zeta13,none,opp,pro,cw,,cw,0,sw,nw,pro,ccw,,ccw,0,w,s,3
V,eta7,eta1,none,same,pro,cw,,cw,0,sw,nw,anti,ccw,,cw,0,w,n,3
R,eta7,zeta13,none,opp,pro,cw,,cw,0,sw,nw,anti,cw,,ccw,0,w,s,3
Y,eta7,eta15,none,none,pro,cw,,cw,0,sw,nw,static,noRotation,,static,0,w,w,3
W-,eta7,zeta3,none,none,pro,cw,,cw,0,sw,nw,dash,noRotation,,dash,0,w,e,3
M,eta7,zeta9,none,opp,pro,ccw,,ccw,0,sw,se,pro,cw,,cw,0,w,n,3
S,eta7,eta5,none,same,pro,ccw,,ccw,0,sw,se,pro,ccw,,ccw,0,w,s,3
O,eta7,zeta9,none,opp,pro,ccw,,ccw,0,sw,se,anti,ccw,,cw,0,w,n,3
U,eta7,eta5,none,same,pro,ccw,,ccw,0,sw,se,anti,cw,,ccw,0,w,s,3
Θ,eta7,zeta7,none,none,pro,ccw,,ccw,0,sw,se,static,noRotation,,static,0,w,w,3
Σ-,eta7,eta11,none,none,pro,ccw,,ccw,0,sw,se,dash,noRotation,,dash,0,w,e,3
U,eta7,eta1,none,same,anti,ccw,,cw,0,sw,nw,pro,cw,,cw,0,w,n,3
R,eta7,zeta13,none,opp,anti,ccw,,cw,0,sw,nw,pro,ccw,,ccw,0,w,s,3
T,eta7,eta1,none,same,anti,ccw,,cw,0,sw,nw,anti,ccw,,cw,0,w,n,3
Q,eta7,zeta13,none,opp,anti,ccw,,cw,0,sw,nw,anti,cw,,ccw,0,w,s,3
Z,eta7,eta15,none,none,anti,ccw,,cw,0,sw,nw,static,noRotation,,static,0,w,w,3
X-,eta7,zeta3,none,none,anti,ccw,,cw,0,sw,nw,dash,noRotation,,dash,0,w,e,3
O,eta7,zeta9,none,opp,anti,cw,,ccw,0,sw,se,pro,cw,,cw,0,w,n,3
V,eta7,eta5,none,same,anti,cw,,ccw,0,sw,se,pro,ccw,,ccw,0,w,s,3
N,eta7,zeta9,none,opp,anti,cw,,ccw,0,sw,se,anti,ccw,,cw,0,w,n,3
T,eta7,eta5,none,same,anti,cw,,ccw,0,sw,se,anti,cw,,ccw,0,w,s,3
